文件	行号	形态	原片段	修复后
background/00_key_values.md	26	supsub	²	$^{2}$
background/00_key_values.md	30	supsub	²	$^{2}$
background/00_key_values.md	33	supsub	⁻²	$^{-2}$
background/00_key_values.md	37	supsub	⁻	$^{-}$
background/00_key_values.md	60	supsub	³	$^{3}$
background/00_key_values.md	61	supsub	⁻²	$^{-2}$
background/00_key_values.md	61	supsub	⁻¹	$^{-1}$
background/00_key_values.md	61	supsub	⁻¹	$^{-1}$
background/00_key_values.md	76	supsub	⁻³	$^{-3}$
background/00_key_values.md	76	supsub	⁻¹	$^{-1}$
background/00_key_values.md	77	supsub	⁻³	$^{-3}$
background/00_key_values.md	77	supsub	⁻¹	$^{-1}$
background/00_key_values.md	78	supsub	⁻³	$^{-3}$
background/00_key_values.md	78	supsub	⁻¹	$^{-1}$
background/00_key_values.md	80	supsub	⁻¹	$^{-1}$
background/00_key_values.md	80	supsub	³	$^{3}$
background/00_key_values.md	89	supsub	⁻¹	$^{-1}$
background/00_key_values.md	89	supsub	⁻¹	$^{-1}$
background/00_key_values.md	92	supsub	⁻¹	$^{-1}$
background/00_key_values.md	121	supsub	⁰	$^{0}$
background/00_key_values.md	128	supsub	⁻¹	$^{-1}$
background/00_key_values.md	129	supsub	⁻³	$^{-3}$
background/00_key_values.md	130	supsub	⁻¹	$^{-1}$
background/00_key_values.md	131	supsub	⁻¹	$^{-1}$
background/00_key_values.md	152	supsub	²	$^{2}$
background/00_key_values.md	178	supsub	²³⁵	$^{235}$
background/00_key_values.md	178	supsub	²³⁸	$^{238}$
background/00_key_values.md	199	supsub	⁻³	$^{-3}$
background/00_key_values.md	216	supsub	³	$^{3}$
background/00_key_values.md	217	supsub	³	$^{3}$
background/00_key_values.md	218	supsub	³	$^{3}$
background/00_key_values.md	220	supsub	³	$^{3}$
background/00_key_values.md	230	supsub	⁻¹	$^{-1}$
background/00_key_values.md	232	supsub	⁻³	$^{-3}$
background/00_key_values.md	346	supsub	⁻¹	$^{-1}$
background/00_key_values.md	347	supsub	⁻¹	$^{-1}$
background/00_key_values.md	366	supsub	²	$^{2}$
background/00_key_values.md	368	supsub	³	$^{3}$
background/00_key_values.md	402	supsub	²	$^{2}$
background/00_key_values.md	403	supsub	³	$^{3}$
background/01_cosmic_rays.md	78	supsub	²	$^{2}$
background/01_cosmic_rays.md	87	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	87	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	87	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	89	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	129	supsub	²	$^{2}$
background/01_cosmic_rays.md	206	supsub	²	$^{2}$
background/01_cosmic_rays.md	306	supsub	³	$^{3}$
background/01_cosmic_rays.md	322	supsub	⁻²	$^{-2}$
background/01_cosmic_rays.md	345	supsub	²	$^{2}$
background/01_cosmic_rays.md	348	supsub	⁻³	$^{-3}$
background/01_cosmic_rays.md	348	supsub	⁻³	$^{-3}$
background/01_cosmic_rays.md	533	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	536	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	536	supsub	⁻³	$^{-3}$
background/01_cosmic_rays.md	547	supsub	⁺	$^{+}$
background/01_cosmic_rays.md	547	supsub	⁺	$^{+}$
background/01_cosmic_rays.md	573	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	594	supsub	²	$^{2}$
background/01_cosmic_rays.md	610	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	611	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	612	supsub	⁻³	$^{-3}$
background/01_cosmic_rays.md	612	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	620	supsub	²	$^{2}$
background/01_cosmic_rays.md	621	supsub	³	$^{3}$
background/01_cosmic_rays.md	627	supsub	⁻²	$^{-2}$
background/01_cosmic_rays.md	628	supsub	²	$^{2}$
background/01_cosmic_rays.md	649	supsub	⁻³	$^{-3}$
background/01_cosmic_rays.md	649	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	656	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	659	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	660	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	673	supsub	⁻³	$^{-3}$
background/01_cosmic_rays.md	674	supsub	⁻³	$^{-3}$
background/01_cosmic_rays.md	679	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	679	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	680	supsub	⁻¹	$^{-1}$
background/01_cosmic_rays.md	685	supsub	²	$^{2}$
background/02_nucleosynthesis.md	45	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	64	supsub	⁹⁰	$^{90}$
background/02_nucleosynthesis.md	64	supsub	⁸⁰	$^{80}$
background/02_nucleosynthesis.md	65	supsub	¹³⁸	$^{138}$
background/02_nucleosynthesis.md	65	supsub	¹³⁰	$^{130}$
background/02_nucleosynthesis.md	66	supsub	²⁰⁸	$^{208}$
background/02_nucleosynthesis.md	66	supsub	¹⁹⁴	$^{194}$
background/02_nucleosynthesis.md	68	supsub	ₙ	$_{n}$
background/02_nucleosynthesis.md	70	supsub	⁹⁹	$^{99}$
background/02_nucleosynthesis.md	70	supsub	⁹⁹	$^{99}$
background/02_nucleosynthesis.md	71	supsub	²³⁵	$^{235}$
background/02_nucleosynthesis.md	71	supsub	²³⁸	$^{238}$
background/02_nucleosynthesis.md	77	supsub	¹	$^{1}$
background/02_nucleosynthesis.md	120	supsub	⁺	^{+}
background/02_nucleosynthesis.md	120	supsub	⁺	^{+}
background/02_nucleosynthesis.md	120	supsub	⁺	^{+}
background/02_nucleosynthesis.md	120	supsub	¹⁹	$^{19}$
background/02_nucleosynthesis.md	120	supsub	²³	$^{23}$
background/02_nucleosynthesis.md	120	supsub	²⁵	$^{25}$
background/02_nucleosynthesis.md	120	supsub	²⁶	$^{26}$
background/02_nucleosynthesis.md	120	supsub	²⁷	$^{27}$
background/02_nucleosynthesis.md	120	supsub	²⁹	$^{29}$
background/02_nucleosynthesis.md	120	supsub	³⁰	$^{30}$
background/02_nucleosynthesis.md	124	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	140	supsub	⁻	$^{-}$
background/02_nucleosynthesis.md	162	supsub	³	$^{3}$
background/02_nucleosynthesis.md	199	supsub	²⁸	$^{28}$
background/02_nucleosynthesis.md	203	supsub	²⁴	$^{24}$
background/02_nucleosynthesis.md	204	supsub	²⁸	$^{28}$
background/02_nucleosynthesis.md	205	supsub	³²	$^{32}$
background/02_nucleosynthesis.md	206	supsub	³⁶	$^{36}$
background/02_nucleosynthesis.md	207	supsub	⁴⁰	$^{40}$
background/02_nucleosynthesis.md	208	supsub	⁴⁴	$^{44}$
background/02_nucleosynthesis.md	209	supsub	⁴⁸	$^{48}$
background/02_nucleosynthesis.md	227	supsub	⁺	^{+}
background/02_nucleosynthesis.md	235	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	238	supsub	⁺	^{+}
background/02_nucleosynthesis.md	244	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	249	supsub	⁵⁶	$^{56}$
background/02_nucleosynthesis.md	261	supsub	ₑ	$_{e}$
background/02_nucleosynthesis.md	262	supsub	ₑ	$_{e}$
background/02_nucleosynthesis.md	262	supsub	ₕ	$_{h}$
background/02_nucleosynthesis.md	265	supsub	⁵⁶	$^{56}$
background/02_nucleosynthesis.md	303	supsub	⁻¹	$^{-1}$
background/02_nucleosynthesis.md	313	supsub	⁹⁰	$^{90}$
background/02_nucleosynthesis.md	314	supsub	¹³⁸	$^{138}$
background/02_nucleosynthesis.md	315	supsub	²⁰⁸	$^{208}$
background/02_nucleosynthesis.md	317	supsub	²⁰⁸	$^{208}$
background/02_nucleosynthesis.md	317	supsub	²⁰⁶	$^{206}$
background/02_nucleosynthesis.md	317	supsub	²⁰⁷	$^{207}$
background/02_nucleosynthesis.md	317	supsub	²⁰⁴	$^{204}$
background/02_nucleosynthesis.md	348	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	349	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	352	supsub	ₙ	$_{n}$
background/02_nucleosynthesis.md	352	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	366	supsub	⁺	^{+}
background/02_nucleosynthesis.md	369	supsub	ₛ	$_{s}$
background/02_nucleosynthesis.md	369	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	399	supsub	ₙ	$_{n}$
background/02_nucleosynthesis.md	399	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	399	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	403	supsub	ₙ	$_{n}$
background/02_nucleosynthesis.md	421	supsub	ₙ	$_{n}$
background/02_nucleosynthesis.md	425	supsub	⁸⁰	$^{80}$
background/02_nucleosynthesis.md	426	supsub	¹³⁰	$^{130}$
background/02_nucleosynthesis.md	427	supsub	¹⁹⁴	$^{194}$
background/02_nucleosynthesis.md	436	supsub	²⁵⁸	$^{258}$
background/02_nucleosynthesis.md	439	supsub	⁵⁶	$^{56}$
background/02_nucleosynthesis.md	448	supsub	²³⁵	$^{235}$
background/02_nucleosynthesis.md	448	supsub	²³⁸	$^{238}$
background/02_nucleosynthesis.md	448	supsub	²³²	$^{232}$
background/02_nucleosynthesis.md	448	supsub	²⁴⁴	$^{244}$
background/02_nucleosynthesis.md	450	supsub	²³⁵	$^{235}$
background/02_nucleosynthesis.md	450	supsub	²³⁸	$^{238}$
background/02_nucleosynthesis.md	454	supsub	²³⁵	$^{235}$
background/02_nucleosynthesis.md	455	supsub	²³⁸	$^{238}$
background/02_nucleosynthesis.md	456	supsub	²³⁵	$^{235}$
background/02_nucleosynthesis.md	456	supsub	²³⁸	$^{238}$
background/02_nucleosynthesis.md	458	skip	±²	²
background/02_nucleosynthesis.md	458	skip	/₋₄	₋₄
background/02_nucleosynthesis.md	472	supsub	ₙ	$_{n}$
background/02_nucleosynthesis.md	504	supsub	⁸⁶	$^{86}$
background/02_nucleosynthesis.md	509	supsub	ₙ	$_{n}$
background/02_nucleosynthesis.md	525	supsub	ₑ	$_{e}$
background/02_nucleosynthesis.md	555	supsub	⁻	$^{-}$
background/02_nucleosynthesis.md	555	supsub	ₑ	$_{e}$
background/02_nucleosynthesis.md	596	supsub	⁻¹	$^{-1}$
background/02_nucleosynthesis.md	623	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	682	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	682	supsub	⁻¹	$^{-1}$
background/02_nucleosynthesis.md	692	supsub	⁻¹	$^{-1}$
background/02_nucleosynthesis.md	692	supsub	⁻¹	$^{-1}$
background/02_nucleosynthesis.md	768	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	770	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	774	supsub	ₙ	$_{n}$
background/02_nucleosynthesis.md	774	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	775	supsub	ₙ	$_{n}$
background/02_nucleosynthesis.md	775	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	779	supsub	ₛ	$_{s}$
background/02_nucleosynthesis.md	779	supsub	⁻³	$^{-3}$
background/02_nucleosynthesis.md	785	supsub	²	$^{2}$
background/02_nucleosynthesis.md	818	supsub	³	$^{3}$
background/02_nucleosynthesis.md	819	supsub	³	$^{3}$
background/02_nucleosynthesis.md	825	supsub	²⁵⁴	$^{254}$
background/02_nucleosynthesis.md	826	supsub	²⁵⁸	$^{258}$
background/02_nucleosynthesis.md	827	supsub	²³⁵	$^{235}$
background/02_nucleosynthesis.md	828	supsub	²³⁸	$^{238}$
background/02_nucleosynthesis.md	829	supsub	²³²	$^{232}$
background/02_nucleosynthesis.md	830	supsub	²⁴⁴	$^{244}$
background/02_nucleosynthesis.md	833	supsub	⁹⁹	$^{99}$
background/02_nucleosynthesis.md	863	supsub	²⁰⁸	$^{208}$
background/02_nucleosynthesis.md	885	supsub	⁻¹	$^{-1}$
background/02_nucleosynthesis.md	899	supsub	ₙ	$_{n}$
background/03_astrophysics.md	194	supsub	²	$^{2}$
background/03_astrophysics.md	194	supsub	³	$^{3}$
background/03_astrophysics.md	208	supsub	₀	$_{0}$
background/03_astrophysics.md	247	supsub	⁰	$^{0}$
background/03_astrophysics.md	298	supsub	²	$^{2}$
background/03_astrophysics.md	298	supsub	²	$^{2}$
background/03_astrophysics.md	298	supsub	⁻³	$^{-3}$
background/03_astrophysics.md	300	supsub	⁻⁰·⁴³	$^{-0.43}$
background/03_astrophysics.md	330	supsub	⁻⁴·⁴	$^{-4.4}$
background/03_astrophysics.md	375	supsub	³	$^{3}$
background/03_astrophysics.md	383	supsub	²	$^{2}$
background/03_astrophysics.md	428	supsub	²	$^{2}$
background/03_astrophysics.md	468	supsub	²	$^{2}$
background/03_astrophysics.md	560	supsub	²	$^{2}$
background/03_astrophysics.md	562	supsub	²	$^{2}$
background/03_astrophysics.md	563	supsub	³	$^{3}$
background/03_astrophysics.md	565	supsub	³	$^{3}$
background/03_astrophysics.md	566	supsub	³	$^{3}$
background/03_astrophysics.md	595	supsub	₈	$_{8}$
background/03_astrophysics.md	644	supsub	²	$^{2}$
background/04_critique_index.md	38	supsub	²	$^{2}$
background/04_critique_index.md	116	supsub	²⁵⁴	$^{254}$
background/04_critique_index.md	235	supsub	⁻¹	$^{-1}$
background/05_glossary.md	181	supsub	₀	$_{0}$
background/05_glossary.md	196	supsub	⁻¹	$^{-1}$
background/05_glossary.md	269	supsub	²⁵⁴	$^{254}$
background/05_glossary.md	280	supsub	⁻¹	$^{-1}$
background/05_glossary.md	382	supsub	₃	$_{3}$
background/05_glossary.md	516	supsub	²	$^{2}$
background/05_glossary.md	678	supsub	²	$^{2}$
background/05_glossary.md	678	supsub	⁴	$^{4}$
background/05_glossary.md	740	supsub	⁹⁹	$^{99}$
background/05_glossary.md	744	supsub	⁴	$^{4}$
background/05_glossary.md	759	supsub	³	$^{3}$
background/05_glossary.md	765	supsub	²³⁵	$^{235}$
background/05_glossary.md	765	supsub	²³⁸	$^{238}$
background/05_glossary.md	790	supsub	₂	$_{2}$
background/05_glossary.md	819	supsub	²	$^{2}$
background/05_glossary.md	825	supsub	⁺	^{+}
background/05_glossary.md	827	supsub	¹	$^{1}$
background/05_glossary.md	846	supsub	₁	$_{1}$
background/05_glossary.md	875	supsub	²	$^{2}$
background/05_glossary.md	875	supsub	²	$^{2}$
background/05_glossary.md	969	supsub	²	$^{2}$
background/05_glossary.md	973	supsub	⁹⁹	$^{99}$
background/05_glossary.md	1017	supsub	₀	$_{0}$
