11	Weinrich et al. (2020) 用 AMS-02 最新数据约束银河系 CR 传播晕大小 $L$，主要利用放射性同位素时钟（¹⁰Be 等）打破 $K_0/L$ 简并。	Weinrich et al. (2020) 用 AMS-02 最新数据约束银河系 CR 传播晕大小 $L$，主要利用放射性同位素时钟（$^{10}{\rm Be}$ 等）打破 $K_0/L$ 简并。	R2 核素/希腊字母/单位
19	B/C 比率对 $K_0/L$ 的比值敏感，但对 $K_0$ 和 $L$ 单独不敏感——这被称为 $K_0/L$ 简并。打破简并的方法：使用**放射性同位素时钟**（如 ¹⁰Be，半衰期 $t_{1/2} = 1.387$ Myr），其衰变率与传播时间 $L^2/K_0$ 直接相关。	B/C 比率对 $K_0/L$ 的比值敏感，但对 $K_0$ 和 $L$ 单独不敏感——这被称为 $K_0/L$ 简并。打破简并的方法：使用**放射性同位素时钟**（如 $^{10}{\rm Be}$，半衰期 $t_{1/2} = 1.387$ Myr），其衰变率与传播时间 $L^2/K_0$ 直接相关。	R2 核素/希腊字母/单位
23	1. 联合拟合 AMS-02 Li/C、B/C、Be/B 数据 + 多个 ¹⁰Be 相关数据集	1. 联合拟合 AMS-02 Li/C、B/C、Be/B 数据 + 多个 $^{10}{\rm Be}$ 相关数据集	R2 核素/希腊字母/单位
34	| Base + Be/B + ¹⁰Be/Be + ¹⁰Be/⁹Be | $4.66^{+1.35}_{-0.97}$ kpc | **最严格约束** |	| Base + Be/B + $^{10}{\rm Be}$/Be + $^{10}{\rm Be}$/$^{9}{\rm Be}$ | $4.66^{+1.35}_{-0.97}$ kpc | **最严格约束** |	R2 核素/希腊字母/单位
43	→ 联合 ¹⁰Be 数据进一步收紧	→ 联合 $^{10}{\rm Be}$ 数据进一步收紧	R2 核素/希腊字母/单位
44	→ 传统 L = 4 kpc 被排除（对 δ = 0.3 模型）	→ 传统 L = 4 kpc 被排除（对 $\delta$ = 0.3 模型）	R2 核素/希腊字母/单位
58	| ACE-CRIS 1⁰Be/⁹Be | Lave et al. 2013 | 低能 1⁰Be 数据 |	| ACE-CRIS 1$^{0}{\rm Be}$/$^{9}{\rm Be}$ | Lave et al. 2013 | 低能 1$^{0}{\rm Be}$ 数据 |	R2 核素/希腊字母/单位
59	| ISOMAX 1⁰Be/⁹Be | | 低能 1⁰Be 数据 |	| ISOMAX 1$^{0}{\rm Be}$/$^{9}{\rm Be}$ | | 低能 1$^{0}{\rm Be}$ 数据 |	R2 核素/希腊字母/单位
60	| ACE-CRIS 7⁰Be/⁹Be+1⁰Be | | Be 同位素数据 |	| ACE-CRIS 7$^{0}{\rm Be}$/$^{9}{\rm Be}$+1$^{0}{\rm Be}$ | | Be 同位素数据 |	R2 核素/希腊字母/单位
62	| PAMELA 1⁰Be/⁹Be | 初步分析 | |	| PAMELA 1$^{0}{\rm Be}$/$^{9}{\rm Be}$ | 初步分析 | |	R2 核素/希腊字母/单位
