文件	行号	形态	原片段	修复后
01_cosmic-ray-propagation/0001_strong-moskalenko-ptuskin-2007/literature_analysis/02_confrontation_with_data.md	110	form1	1.51×$10^{6}$	$1.51\times10^{6}$
01_cosmic-ray-propagation/0001_strong-moskalenko-ptuskin-2007/literature_analysis/02_confrontation_with_data.md	111	form1	7.2×$10^{5}$	$7.2\times10^{5}$
01_cosmic-ray-propagation/0001_strong-moskalenko-ptuskin-2007/literature_analysis/02_confrontation_with_data.md	112	form1	3×$10^{5}$	$3\times10^{5}$
01_cosmic-ray-propagation/0001_strong-moskalenko-ptuskin-2007/literature_analysis/02_confrontation_with_data.md	113	form1	312×$10^{3}$	$312\times10^{3}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	14	form1	~4×$10^{15}$	$~4\times10^{15}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	14	form1	~5×$10^{18}$	$~5\times10^{18}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	14	form1	~3×$10^{18}$	$~3\times10^{18}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	15	form1	3.2×$10^{20}$	$3.2\times10^{20}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	24	form1	~2×$10^{16}$	$~2\times10^{16}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	76	form1	4×$10^{15}$	$4\times10^{15}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	77	form1	~4×$10^{17}$	$~4\times10^{17}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	78	form1	~4×$10^{17}$	$~4\times10^{17}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	78	form1	3×$10^{18}$	$3\times10^{18}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	79	form1	3×$10^{18}$	$3\times10^{18}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	80	form1	5×$10^{18}$	$5\times10^{18}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	102	form1	2×$10^{20}$	$2\times10^{20}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	103	form1	3.2×$10^{20}$	$3.2\times10^{20}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	104	form1	~2.1×$10^{20}$	$~2.1\times10^{20}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	199	form1	4×$10^{15}$	$4\times10^{15}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	200	form1	5×$10^{18}$	$5\times10^{18}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	201	form1	3×$10^{18}$	$3\times10^{18}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	202	form1	4×$10^{17}$	$4\times10^{17}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/02_observed_cosmic_rays.md	204	form1	3.2×$10^{20}$	$3.2\times10^{20}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	13	form1	1.5×$10^{41}$	$1.5\times10^{41}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	30	form2	$\rho$_g	$\rho_{\rm g}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	32	form2	$\rho$_g	$\rho_{\rm g}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	46	form1	~4.8×$10^{9}$	$~4.8\times10^{9}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	47	form1	~1.5×$10^{41}$	$~1.5\times10^{41}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	55	form2	$\rho$_g	$\rho_{\rm g}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	68	form2	$\pi$⁰	$\pi^{0}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	110	form2	$\pi$⁰	$\pi^{0}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	126	form2	$\Gamma$²	$\Gamma^{2}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	126	form2	$\omega$₀⁵	$\omega_{05}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	128	form2	$\omega$₀	$\omega_{0}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	140	form1	~5×$10^{19}$	$~5\times10^{19}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_bulk_origin_general.md	140	form1	5.7×$10^{19}$	$5.7\times10^{19}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_figures.md	22	form1	~4×$10^{15}$	$~4\times10^{15}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_figures.md	22	form1	~5×$10^{18}$	$~5\times10^{18}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_figures.md	22	form1	~3×$10^{18}$	$~3\times10^{18}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_figures.md	81	form1	3×$10^{19}$	$3\times10^{19}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_figures.md	81	form1	6×$10^{19}$	$6\times10^{19}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_figures.md	81	form1	~6×$10^{19}$	$~6\times10^{19}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_figures.md	84	form1	6×$10^{19}$	$6\times10^{19}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/03_figures.md	282	form2	$\nu$_$\mu$	$\nu_\mu$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	24	form2	$\beta$_b	$\beta_{\rm b}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	27	form2	$\beta$_b	$\beta_{\rm b}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	27	form2	$\epsilon$²	$\epsilon^{2}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	33	form2	$\beta$_b	$\beta_{\rm b}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	55	form2	$\Omega$₀	$\Omega_{0}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	74	form2	$\pi$²	$\pi^{2}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	79	form1	6.8 × $10^{16}$	$6.8\times10^{16}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	81	form1	~5×$10^{19}$	$~5\times10^{19}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	87	form2	$\gamma$_b	$\gamma_{\rm b}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	91	form2	$\gamma$_b	$\gamma_{\rm b}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	93	form1	4.8 × $10^{14}$	$4.8\times10^{14}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	95	form1	5×$10^{17}$	$5\times10^{17}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	103	form2	$\tau$_n	$\tau_{\rm n}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	105	form2	$\tau$_n	$\tau_{\rm n}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	112	form1	2×$10^{20}$	$2\times10^{20}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	127	form2	$\gamma$_b	$\gamma_{\rm b}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	128	form2	$\gamma$_b	$\gamma_{\rm b}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	132	form1	2.6 × $10^{11}$	$2.6\times10^{11}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	137	form2	$\sigma$_PP	$\sigma_{\rm PP}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	137	form2	$\sigma$_ICS	$\sigma_{\rm ICS}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	137	form2	$\sigma$_T	$\sigma_{\rm T}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	163	form2	$\gamma$_b	$\gamma_{\rm b}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	165	form2	$\sigma$_DPP	$\sigma_{\rm DPP}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	165	form2	$\alpha$⁴	$\alpha^{4}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	169	form2	$\gamma$_b	$\gamma_{\rm b}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	171	form2	$\sigma$_TPP	$\sigma_{\rm TPP}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	171	form2	$\sigma$_T	$\sigma_{\rm T}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	174	form2	$\sigma$_TPP	$\sigma_{\rm TPP}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	174	form2	$\sigma$_ICS	$\sigma_{\rm ICS}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	180	form2	$\mu$⁺	$\mu^{\rm +}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	180	form2	$\mu$⁻	$\mu^{\rm -}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	180	form2	$\tau$⁺	$\tau^{\rm +}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	180	form2	$\tau$⁻	$\tau^{\rm -}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	180	form2	$\pi$⁺	$\pi^{\rm +}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	180	form2	$\pi$⁻	$\pi^{\rm -}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	181	form2	$\alpha$³	$\alpha^{3}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	182	form2	$\gamma$_b	$\gamma_{\rm b}$
02_cosmic-ray-origins/0001_bhattacharjee-sigl-2000/literature_analysis/04_propagation_gzk.md	191	form1	~6.8×$10^{19}$	$~6.8\times10^{19}$
